"","year","week","est_Inc"
"1",2017,1,52
"12",2017,2,46
"23",2017,3,35
"34",2017,4,65
"45",2017,5,83
"49",2017,6,115
"50",2017,7,200
"51",2017,8,138
"52",2017,9,327
"2",2017,10,277
"3",2017,11,247
"4",2017,12,268
"5",2017,13,216
"6",2017,14,83
"7",2017,15,53
"8",2017,16,99
"9",2017,17,62
"10",2017,18,54
"11",2017,19,49
"13",2017,20,36
"14",2017,21,10
"15",2017,22,9
"16",2017,23,33
"17",2017,24,18
"18",2017,25,9
"19",2017,26,9
"20",2017,27,20
"21",2017,28,32
"22",2017,29,11
"24",2017,30,36
"25",2017,31,12
"26",2017,32,37
"27",2017,33,0
"28",2017,34,16
"29",2017,35,16
"30",2017,36,57
"31",2017,37,37
"32",2017,38,11
"33",2017,39,0
"35",2017,40,15
"36",2017,41,10
"37",2017,42,8
"38",2017,43,0
"39",2017,44,0
"40",2017,45,9
"41",2017,46,0
"42",2017,47,0
"43",2017,48,17
"44",2017,49,74
"46",2017,50,146
"47",2017,51,425
"48",2017,52,649
"53",2018,1,1057
"64",2018,2,2254
"75",2018,3,3086
"86",2018,4,2630
"97",2018,5,2619
"101",2018,6,3471
"102",2018,7,3308
"103",2018,8,1954
"104",2018,9,1392
"54",2018,10,720
"55",2018,11,476
"56",2018,12,236
"57",2018,13,79
"58",2018,14,77
"59",2018,15,26
"60",2018,16,18
"61",2018,17,25
"62",2018,18,26
"63",2018,19,0
"65",2018,20,0
"66",2018,21,0
"67",2018,22,0
"68",2018,23,0
"69",2018,24,0
"70",2018,25,18
"71",2018,26,0
"72",2018,27,0
"73",2018,28,9
"74",2018,29,18
"76",2018,30,54
"77",2018,31,10
"78",2018,32,0
"79",2018,33,55
"80",2018,34,29
"81",2018,35,20
"82",2018,36,19
"83",2018,37,9
"84",2018,38,11
"85",2018,39,30
"87",2018,40,0
"88",2018,41,0
"89",2018,42,0
"90",2018,43,18
"91",2018,44,10
"92",2018,45,9
"93",2018,46,9
"94",2018,47,0
"95",2018,48,18
"96",2018,49,69
"98",2018,50,36
"99",2018,51,339
"100",2018,52,430
