"","Coefficients","p-value","significance","2.5%","97.5%"
"(Intercept)",3.28887785719456,1.86184447591952e-84,"***",2.96768182834565,3.62626359438997
"normage",0.00517336435229332,0.114857582599407,NA,-0.00111803178313545,0.0114444199381498
"seasonal_trend",-0.0134371533885506,0.00286307250286091,"**",-0.022466871300799,-0.00445420514113795
"daily_temp_var",-0.0196091284921822,0.0076225063471246,"**",-0.0345590249566254,-0.00477280387835341
"normhh_size",0.0585324262255481,0.0563067945568151,".",-0.00207148671649509,0.120067394476746
"newocctypeNot Employed",-0.683210855313398,1.75877038389814e-19,"***",-0.837792219991011,-0.52796586214105
"newocctypeStudents",-0.104155242841469,0.179905419548,NA,-0.257459042836871,0.0506384068373933
"normliveyear>10 years or entire life",0.173573205010937,0.237599467224674,NA,-0.13016725649287,0.458448661152014
"normliveyear6-10 years",0.225826026925114,0.241630916931214,NA,-0.157760684677987,0.607011432964823
"adj_weekdaySAT",-0.396636462427572,5.38941449695835e-05,"***",-0.585810073884144,-0.20053572517839
"adj_weekdaySUN",-0.19660821156548,0.028679268805754,"*",-0.372504944676173,-0.0151956889841102
"factor(irregular)1",0.158796009523972,0.128131524069068,NA,-0.0425298774936006,0.368775750007397
"factor(irregular)2",-0.184547600948632,0.0542116091321616,".",-0.374346376427884,0.00589498710068015
"genderMale",-0.061198952198049,0.336622618521679,NA,-0.188417915069644,0.0660647196683551
